"Description","StartDate","EndDate","Latitude","Longitude","Tags","SubmittedDate"
"C55C Pitmedden Road (TrafficOrderNumber:5528a)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 06:00 on 14 May, 2016, until 24:00 on 13 November, 2016, is to impose a temporary 7.5 Tonne Weight Restriction on the C55C Pitmedden Road, Aberdeen,  between its junction with the access road to Dyce Churchyard and the access road at Gate Lodge.  Aberdeen City Council vehicles and holders of permit letters issued by Aberdeen City Council will be exempt.  The measures are necessary to protect damaged carriageways.. ","2016-05-14 06:00","2016-11-13 23:59","57.2251876760291220","-2.2259773680066770","RoadWorks","2016-05-13 17:00:15  "
"C89C Chapel of Stoneywood to Fairley Road (TrafficOrderNumber:5383)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 06:00 on 7 February, 2016, until 24:00 on 13 November, 2016, is to impose a temporary 7.5 Tonne Weight Restriction imposed on the C89C Chapel of Stoneywood-Fairley Road between its junction with the U90C Hope Farm Road and FIS Chemicals 250 metres south of the A96 Inverurie Road.  The measure is necessary to protect a damaged carriageway.. ","2016-02-07 06:00","2016-11-13 23:59","57.1807591991149100","-2.2150532094100508","RoadWorks","2016-05-13 16:37:14  "
"Cornhill Road (TrafficOrderNumber:5389)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order will be to impose a temporary prohibition of driving on Cornhill Road, Aberdeen, between its junctions with Westburn Drive and the entrance to Cornhill Hospital, from 05:00 on 23 May, 2016 until 23:00 on 12 August, 2016. There will also be a no waiting restriction on either side of the same stretch of road and no pedestrian access.  Also, from 05:00 on 20 July, 2016 until 23:00 on 20 September, 2016, there will be a temporary prohibition of driving on Cornhill Road, Aberdeen, between its junctions with Westburn Road and the entrance to Cornhill Hospital. There will also be a no waiting restriction on either side of the same stretch of road and no pedestrian access.  Also, from 05:00 on 20 July, 2016 until 23:00 on 16 August, 2016, there will be a no waiting restriction on either side of Cornhill Road, Aberdeen, between its junctions with Westburn Drive and the north feu of 72 Cornhill Road.  These measures are necessary to ensure public safety during heating duct laying works for Aberdeen Royal Infirmary.. ","2016-05-23 05:00","2016-09-20 23:00","57.1537845891362010","-2.1198201523339644","Road Closed","2016-05-13 12:29:13  "
"Cornhill Road (TrafficOrderNumber:5389)  : The effect of the order will be to impose a temporary prohibition of driving on Cornhill Road, Aberdeen, between its junctions with Westburn Drive and the entrance to Cornhill Hospital from 05:00 on 23 May, 2016 until 23:00 on 12 August, 2016.  There will also be a no waiting restriction on either side of the same stretch of road. Also, from 05:00 on 20 July, 2016 until 23:00 on 20 September, 2016, there will be a temporary prohibition of driving on Cornhill Road, Aberdeen, between its junctions with Westburn Road and the entrance to Cornhill Hospital. There will also be a no waiting restriction on either side of the same stretch of road. Also, from 05:00 on 20 July, 2016 until 23:00 on 16 August, 2016, there will be a no waiting restriction on either side of Cornhill Road, Aberdeen, between its junctions with Westburn Drive and the North Feu of 72 Cornhill Road.  These measures are necessary to ensure public safety during heating duct laying works for Aberdeen Royal Infirmary.. ","2016-05-23 05:00","2016-09-20 23:00","57.1537845891362010","-2.1198201523339644","Road Closed","2016-05-12 14:06:47  "
"Countesswells Road (TrafficOrderNumber:5494)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order is to impose a temporary prohibition of driving on the C127C Countesswells Road, Aberdeen, between its junctions with the C128C Cults-Kingshill and the U324C Craigton Road, from 06:00 on 3 May, 2016, until 24:00 on 9 July, 2016.  Access to properties will be maintained, but no through traffic will be possible.  The measure is necessary to protect public safety during multi-utility installation works for a new housing development.. An alternative route is available via the C128C Kirk Brae, the U124C Friarsfield Road, the U324C Craigton Road, and Springfield Road.","2016-05-03 06:00","2016-07-09 23:59","57.1296332068258080","-2.1952975786755986","Road Closed","2016-04-20 11:48:34  "
"Gilcomstoun Court (TrafficOrderNumber:5480)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 08.00 on 21 April, 2016, until 18:00 on 20 October, 2017, is to impose a temporary prohibition of waiting on the entirety of Gilcomstoun Court, Aberdeen.  The measure is necessary to maintain access for emergency vehicles. ","2016-04-21 08:00","2017-10-20 18:00","57.1467148169221770","-2.1101790648120726","RoadWorks","2016-04-15 13:09:24  "
"Provost Rust Drive (TrafficOrderNumber:5470b)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order is to impose a temporary prohibition of waiting on Provost Rust Drive, Aberdeen, on the inset road between its junctions with Smithfield Drive and Kemp Street, from 08:00 on 30 May, 2016, until 24:00 on 3 July, 2016, and on the inset road between its junctions with Kemp Street and Manor Avenue, from 08:00 on 20 June, 2016, until 24:00 on 24 July, 2016.  The parking restrictions will not be implemented on any whole section at any one time, and will be demarcated by the use of no-waiting cones as and when required.  The measures are necessary to protect public safety during heating duct installation works.. ","2016-05-30 08:00","2016-07-24 23:59","57.1676600816810070","-2.1480911302199130","RoadWorks","2016-04-13 14:35:03  "
"U133C Milltimber Brae (TrafficOrderNumber:5459)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 06:00 on 8 April, 2016, until 24:00 on 7 October, 2016, is to impose a temporary prohibition of driving on the U133C Milltimber Brae, Aberdeen, between its junctions with the B979 Milltimber Brae and Station Road.  The measure is necessary to protect public safety during works to construct the AWPR.. An alternative route is available via North Deeside Road.","2016-04-08 06:00","2016-10-07 23:59","57.1010942659507070","-2.2415286490202875","Road Closed","2016-04-05 15:45:11  "
"Leuchlands Road (TrafficOrderNumber:5412)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 06:30 on 14 March, 2016, until 24:00 on 13 September, 2016, is to impose a temporary prohibition of driving on the U19C Leuchlands Road, Aberdeen, between the access track to Corby Loch and Backhill of Cranbog.    The measures are necessary to protect public safety during Aberdeen Western Peripheral Route works.. An alternative route is available via the U19C Newton of Shielhill Road, B999 Tarves Road, the B977 Dyce-Balmedie, Lochgreens Road.","2016-03-14 06:30","2016-09-13 23:59","57.2220346785192500","-2.1127389145533342","Road Closed","2016-03-11 16:17:30  "
"Palmerston Road (TrafficOrderNumber:5394)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 00:01 on 14 March 2016, until 23:59 on 28 February 2017, is to impose a temporary prohibition of waiting on the areas of footway behind the existing kerb line either side of the following roads.    •	On either side of Palmerston Road, Aberdeen, between its junctions with Palmerston Place and Market Street   •	On either side of Stell Road, Aberdeen, between its junctions with Palmerston Road and North Esplanade West.  •	On either side of Poynernook Road, Aberdeen, between its junctions with Market Street and Palmerston Road.  •	 On either side of Raik Road, Aberdeen, between its junctions with Palmerston Road and North Esplanade West.  •	On either side of Russell Road, Aberdeen, between its junctions Poynernook Road and North Esplanade West.  •	On either side of Old Ford Road, Aberdeen, between its junctions with Palmerston Road and Palmerston Place.  •	On either side of Palmerston Place, Aberdeen, between its junctions with Old Ford Road and Palmerston Road.      The measures are in the interests of public safety.. ","2016-03-14 00:01","2017-02-28 23:59","57.1405547084688760","-2.0965620027576786","RoadWorks","2016-03-09 12:16:01  "
"Chapel of Stoneywood to Fairley Road (TrafficOrderNumber:5386)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 06:30 on 20 February, 2016, until 24:00 on 19 August, 2016, is to impose a temporary 40mph speed restriction on the C89C Chapel of Stoneywood-Fairley Road, Aberdeen, between its junctions with the C88C Newhills Road and Kingswells Crescent.  There will also be a prohibition of right turn manoeuvres at the junction with the C89C Chapel of Stoneywood-Fairley Road on to the two new access roads approximately 75 metres north east of Dykeside Steading.  The measures are necessary to protect public safety during the movement of construction vehicles associated with the AWPR. ","2016-02-20 06:30","2016-08-19 23:59","57.1692523810508460","-2.2148209565205486","RoadWorks","2016-02-19 12:26:28  "
"Borrowstone Road (TrafficOrderNumber:5353)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order is to impose a temporary prohibition of driving on the un-named track, between the C93C Borrowstone Road at Westholme and the U95C Brodiach Road at Rowanbank, from 05:00 on 1 February, 2016, until 05:00 on 8 February, 2016.  There will also be a prohibition of driving on the C93C Borrowstone Road, Aberdeen, between Westholme and East Kingsford Cottage, from 05:00 on 8 February, 2016, until 24:00 on 31 July, 2016.  Temporary traffic signals will be in use from 5 February to 8 February during the connection of the access road, operating 2000 to 0600 each night.  The measure is necessary to protect public safety during Aberdeen Western Peripheral Route works.. An alternative route to Borrowstone Road will be available via an upgraded access road linking the C93C Borrowstone Road at Westholme to the U95C Brodiach Road at Rowanbank.  An alternative route during the upgade of the access track is available via the A944 Skene Road.","2016-02-01 05:00","2016-07-31 23:59","57.1508449757629580","-2.2448942267105383","Road Closed","2016-01-27 09:47:34  "
"Newton of Shielhill Road (TrafficOrderNumber:5354 AWPR 4)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 00:00 on 21 January, 2016, until 24:00 on 20 July, 2017, is to impose a temporary 30mph speed restriction on the U19C Newton of Shielhill Road, Aberdeen, between its junctions with the B999 Tarves Road and the U19C Leuchlands Road, and also on the U19C Leuchlands Road, Aberdeen, between a point 85 metres South of its junction with the U19C Newton of Shielhill Road and the Back Hill of Cranbog.  The measure is necessary to protect public safety during Aberdeen Western Peripheral works.. ","2016-01-21 00:00","2017-07-20 23:59","57.2200317625316120","-2.1124347330507107","RoadWorks","2016-01-18 10:38:33  "
"Kirkhill Road, Kirkhill Place (TrafficOrderNumber:5304)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 08.00 on 17 December, 2015, until 18:00 on 16 June, 2017, is to impose a temporary prohibition of waiting on the verge on the south side of Kirkhill Road, Aberdeen, between its junctions with Dyce Drive and Forties Road, or on either side of Kirkhill Place, Aberdeen, between its junctions with Dyce Drive and Kirkhill Road.  The measures are in the interests of public safety.. ","2015-12-17 08:00","2017-06-16 18:00","57.2037777647770010","-2.2125885679673578","RoadWorks","2015-12-15 11:22:04  "
"Fairly Road, Lang Stracht, Edmond Gardens, Whiterashes. (TrafficOrderNumber:5294)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 08.00 on 26 November, 2015, until 17:00 on 25 November, 2016, is to impose a temporary prohibition of waiting on the following;     •	On either side of Fairley Road, Aberdeen, between its junction with the C89C Chapel of Stoneywood-Fairley Road and the ‘T’ junction at the rear of number 9 Whiterashes.  •	On the East side of Fairley Road, Aberdeen, between its junctions with Old Skene Road and Kingswood Drive.  •	On the West side of Fairley Road, Aberdeen, between its junctions with Old Skene Road and a point 115 metres in a Northerly direction.  •	On the West side of Fairley Road, Aberdeen, from a point 56 metres North of the extended Northern kerb line at the ‘T’ junction at the rear of number 9 Whiterashes, to a point 18 metres in a Northerly direction.  •	On the West side of Fairley Road, Aberdeen, from a point 90 metres North of the extended Northern kerb line at the ‘T’ junction at the rear of number 9 Whiterashes, to a point 24 metres in a Northerly direction.  •	On the West side of Fairley Road, Aberdeen, from a point 131 metres North of the extended Northern kerb line at the ‘T’ junction at the rear of number 9 Whiterashes, to a point 46 metres in a Northerly direction.  •	On the West side of Fairley Road, Aberdeen, from the Southern extended kerb line at its Southern junction with Edmond Gardens, to a point 16 metres in a Southerly direction.  •	On the West side of Fairley Road, Aberdeen, from the Northern extended kerb line at its Southern junction with Edmond Gardens, to a point 13 metres in a Northerly direction.  •	On the West side of Fairley Road, Aberdeen, from the Southern extended kerb line at its Northern junction with Edmond Gardens, to a point 53 metres in a Southerly direction.  •	On the West side of Fairley Road, Aberdeen, from the Northern extended kerb line at its Northern junction with Edmond Gardens, to a point 15 metres in a Northerly direction.  •	On the West side of Fairley Road, Aberdeen, between its junction with Kingswood Drive and a point 113 metres in a Southerly direction.  •	On either side of Fairley Road, Aberdeen, between the ‘T’ junction at the cul-de-sac at number 47-79 Fairley Road, and a point 10 metres in a Westerly direction.  •	On either side of Edmond Gardens, Aberdeen, between its Northern junction with Fairley Road and a p. ","2015-11-26 08:00","2016-11-25 17:00","57.1495652003866680","-2.2179460868933645","RoadWorks","2015-11-20 15:39:05  "
"Contlaw Brae (TrafficOrderNumber:5214)  : Aberdeen City Council has made the above-named order in terms of its powers under Section14(1) the Road Traffic Regulation Act 1984.    The effect of the order which will operate from 3 September, 2015, to 2 September, 2016, will be to impose certain lengths of prohibition of waiting at any time on Contlaw Brae, Contlaw Place and Monearn Gardens, Milltimber, Aberdeen, as defined in the schedule below.  These measures are necessary to protect public safety by ensuring the immediate areas of the junctions of Contlaw Brae with Monearns Gardens, and Contlaw Place, are kept clear of waiting/parked vehicles.    Schedule:    Contlaw Brae:  West side, from its junction with Contlaw Place, northwards for a distance of 10 metres.    West side, from its junction with Contlaw Place, southwards for a distance of 10 metres.    West side, from a point 10 metres north of its junction with Monearn Gardens southwards to a point 14 metres south of its junction with Monearn Gardens.    Contlaw Place:  Both sides, from its junction with Contlaw Brae, south-westwards for a distance of 10 metres.    Monearn Gardens:  Both sides, from its junction with Contlaw Brae, eastwards for a distance of 10 metres.. ","2015-09-03 00:00","2016-09-02 23:59","57.1059784346667170","-2.2334385135757802","RoadWorks","2015-09-01 12:50:36  "
"Newburgh Way (TrafficOrderNumber:2015/247/TL)  : Temporary Traffic Signals for works by Scottish Water at the junction of Newburgh Way with Newburgh Drive.  Three way Signals.. ","2015-09-13 09:30","2014-09-13 15:30","57.1914066538548270","-2.1184034094725228","RoadWorks","2015-08-18 15:07:52  "
"Saint Swithin Street (TrafficOrderNumber:5172)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 08.00 on 17 August, 2015, until 16:00 on 16 August, 2016, is to impose a temporary prohibition of waiting on west side of St Swithin Street, Aberdeen, between the Southern end of the existing bus layby 24 metres North of Queen’s Lane South and a point 17 metres in a Southerly direction, between 08:00 and 16:00 Monday-Friday, with the exception of school holidays.  School transport buses will be exempt.  The measure is necessary to protect public safety while a permanent order progresses.. ","2015-08-17 08:00","2016-08-16 16:00","57.1422708775800170","-2.1264090348071911","RoadWorks","2015-08-13 09:50:27  "
"Cattofield Place (TrafficOrderNumber:2015/227/TL)  : There will be Temporary Traffic Signals on Cattofield Place at its junction with Cattofield Terrace.  These lights will be in operation between 09:30 & 15:30 DAILY.  This is to protect public safety during BT Works.. ","2015-08-12 09:30","2014-08-17 15:30","57.1625058330738940","-2.1211214676326970","RoadWorks","2015-08-04 12:39:51  "
"South Crown Street (TrafficOrderNumber:2015/129/TL)  : There will be temporary traffic signals on South Crown Street at its junction with Bank Street.  These lights will be in operation between 09:20 & 15:30 ONLY.  This is to protect public safety during Scottish Water Works. ","2015-05-08 09:30","2015-04-08 15:30","57.1380989256975550","-2.1009009437299042","RoadWorks","2015-05-08 08:21:40  "
"B999 TARVES ROAD (TrafficOrderNumber:5029)  : The effect of the order, which will operate from 09:00 on 7 May, 2015, until 24:00 on 6 November, 2016. is to impose a temporary 40mph speed restriction on the B999 Tarves Road, Aberdeen, between the existing 40mph 330 metres south of its junction with Panmure Gardens, Potterton, and a point 350 metres south of its junction with the U19C Newton of Shielhill Road. The restriction is in the interests of public safety during works for the Aberdeen Western Peripheral Route.. ","2015-05-07 09:00","2016-11-06 23:59","57.2176005948265640","-2.0978896043489126","RoadWorks","2015-05-01 11:51:26  "
